Pig_ID,Group,Mutation_type,Protein,Evolution_rate
4473,LAIV/NONE,Synonymous,PB2,3.884711779448621e-05
4473,LAIV/NONE,Synonymous,PB1,0.00019273778112828245
4473,LAIV/NONE,Synonymous,PB1-F2,0.0
4473,LAIV/NONE,Synonymous,PA,3.187886033074318e-06
4473,LAIV/NONE,Synonymous,PA-X,0.0
4473,LAIV/NONE,Synonymous,HA,0.0003171243806164441
4473,LAIV/NONE,Synonymous,NP,5.72573718866304e-06
4473,LAIV/NONE,Synonymous,NA,0.0
4473,LAIV/NONE,Synonymous,M1,0.0
4473,LAIV/NONE,Synonymous,M2,0.0
4473,LAIV/NONE,Synonymous,NS1,0.0
4473,LAIV/NONE,Synonymous,NS2,0.0
4473,LAIV/NONE,Synonymous,Whole_genome,7.54807260982685e-05
4479,LAIV/NONE,Synonymous,PB2,1.4786967418546366e-05
4479,LAIV/NONE,Synonymous,PB1,1.759014951627089e-05
4479,LAIV/NONE,Synonymous,PB1-F2,0.0
4479,LAIV/NONE,Synonymous,PA,8.766686590954372e-06
4479,LAIV/NONE,Synonymous,PA-X,0.0
4479,LAIV/NONE,Synonymous,HA,2.989837910472831e-05
4479,LAIV/NONE,Synonymous,NP,0.0
4479,LAIV/NONE,Synonymous,NA,0.0
4479,LAIV/NONE,Synonymous,M1,0.0
4479,LAIV/NONE,Synonymous,M2,0.0
4479,LAIV/NONE,Synonymous,NS1,1.2987012987012986e-05
4479,LAIV/NONE,Synonymous,NS2,2.34192037470726e-05
4479,LAIV/NONE,Synonymous,Whole_genome,1.1204481792717087e-05
4486,AUT/AUT,Synonymous,PB2,2.706766917293233e-05
4486,AUT/AUT,Synonymous,PB1,0.00021887171755245632
4486,AUT/AUT,Synonymous,PB1-F2,0.0
4486,AUT/AUT,Synonymous,PA,0.0
4486,AUT/AUT,Synonymous,PA-X,0.0
4486,AUT/AUT,Synonymous,HA,5.072646342487612e-05
4486,AUT/AUT,Synonymous,M1,0.0
4486,AUT/AUT,Synonymous,M2,0.0
4486,AUT/AUT,Synonymous,NS1,0.0
